"Precinct","Registered","Ballots Cast","Donald J. Trump","Hillary Rodham Clinton","Percent Trump","Percent Clinton","Voter turnout","Democrat minus Republican"
3192,1261,967,400,544,41.36504654,56.25646329,76.6851705,14.89141675
3194,1302,850,193,608,22.70588235,71.52941176,65.28417819,48.82352941
3196,1502,1221,642,534,52.57985258,43.73464373,81.29161119,-8.84520884999999
3198,1222,986,525,424,53.24543611,43.0020284,80.68739771,-10.24340771
3200,1415,1066,433,574,40.61913696,53.84615385,75.33568905,13.22701689
3202,182,142,59,73,41.54929577,51.4084507,78.02197802,9.85915493
4002,1216,913,420,453,46.00219058,49.61664841,75.08223684,3.61445783
4004,1220,940,460,446,48.93617021,47.44680851,77.04918033,-1.4893617
4006,342,259,161,89,62.16216216,34.36293436,75.73099415,-27.7992278
4008,1540,1199,591,557,49.2910759,46.45537948,77.85714286,-2.83569642
4010,2192,1710,869,774,50.81871345,45.26315789,78.01094891,-5.55555556
4012,1550,1252,600,611,47.92332268,48.80191693,80.77419355,0.878594249999992
4014,1164,979,494,447,50.45965271,45.65883555,84.10652921,-4.80081716
4016,1066,793,283,465,35.68726356,58.63808323,74.3902439,22.95081967
4018,584,487,339,120,69.60985626,24.64065708,83.39041096,-44.96919918
4020,87,65,20,41,30.76923077,63.07692308,74.71264368,32.30769231
4022,1536,1064,254,772,23.87218045,72.55639098,69.27083333,48.68421053
4024,1320,1012,521,456,51.48221344,45.05928854,76.66666667,-6.42292490000001
4026,1447,1034,495,491,47.87234043,47.48549323,71.45818936,-0.386847200000005
4028,1587,1259,694,511,55.12311358,40.58776807,79.33207309,-14.53534551
4030,233,193,141,39,73.05699482,20.20725389,82.83261803,-52.84974093
4032,2,1,1,0,100,0,50,-100
4034,879,691,325,338,47.03328509,48.9146165,78.61205916,1.88133141
4036,938,775,427,321,55.09677419,41.41935484,82.62260128,-13.67741935
4038,317,223,130,84,58.29596413,37.66816143,70.34700315,-20.6278027
4040,0,0,0,0,0,0,0,0
4042,0,1,1,0,100,0,0,-100
4044,119,83,26,53,31.3253012,63.85542169,69.74789916,32.53012049
4046,498,420,299,104,71.19047619,24.76190476,84.3373494,-46.42857143
4048,337,263,142,109,53.99239544,41.44486692,78.04154303,-12.54752852
4050,1996,1691,445,1193,26.31578947,70.54997043,84.71943888,44.23418096
4052,246,171,70,95,40.93567251,55.55555556,69.51219512,14.61988305
4053,366,278,64,196,23.02158273,70.50359712,75.95628415,47.48201439
4054,1627,1298,663,568,51.07858243,43.7596302,79.77873387,-7.31895223
4056,0,0,0,0,0,0,0,0
4058,144,105,64,38,60.95238095,36.19047619,72.91666667,-24.76190476
4060,11,9,9,0,100,0,81.81818182,-100
4062,127,91,46,39,50.54945055,42.85714286,71.65354331,-7.69230768999999
4064,140,106,40,62,37.73584906,58.49056604,75.71428571,20.75471698
4066,0,0,0,0,0,0,0,0
4068,0,0,0,0,0,0,0,0
4070,0,1,0,1,0,100,0,100
4072,792,629,390,206,62.00317965,32.75039746,79.41919192,-29.25278219
4074,981,718,296,388,41.22562674,54.03899721,73.19062181,12.81337047
4076,1159,888,386,462,43.46846847,52.02702703,76.61777394,8.55855855999999
4078,10,8,3,4,37.5,50,80,12.5
4080,0,0,0,0,0,0,0,0
4082,6,5,5,0,100,0,83.33333333,-100
4084,97,68,25,42,36.76470588,61.76470588,70.10309278,25
4086,1268,1012,397,562,39.22924901,55.53359684,79.81072555,16.30434783
4088,1771,1419,459,903,32.34672304,63.63636364,80.1242236,31.2896406
4090,601,503,222,274,44.13518887,54.47316103,83.69384359,10.33797216
4092,1,1,0,1,0,100,100,100
4094,1853,1475,685,727,46.44067797,49.28813559,79.6006476,2.84745762
4096,775,486,33,447,6.790123457,91.97530864,62.70967742,85.185185183
4098,2292,1686,725,899,43.00118624,53.32147094,73.56020942,10.3202847
4100,347,274,140,117,51.09489051,42.70072993,78.96253602,-8.39416058000001
4102,1381,1001,490,458,48.95104895,45.75424575,72.48370746,-3.1968032
4104,1876,1446,607,783,41.97786999,54.14937759,77.07889126,12.1715076
4106,1094,862,408,421,47.33178654,48.83990719,78.79341865,1.50812065
4108,1277,1005,422,538,41.99004975,53.53233831,78.70007831,11.54228856
4110,1156,881,412,427,46.76503973,48.4676504,76.21107266,1.70261067
4112,1881,1510,750,689,49.66887417,45.62913907,80.2764487,-4.0397351
4114,2044,1578,780,740,49.42965779,46.89480355,77.20156556,-2.53485423999999
4116,81,70,29,36,41.42857143,51.42857143,86.41975309,10
4118,1678,1186,420,712,35.41315346,60.03372681,70.67938021,24.62057335
4120,1066,793,254,502,32.03026482,63.30390921,74.3902439,31.27364439
4122,1659,1184,428,694,36.14864865,58.61486486,71.36829415,22.46621621
4124,1863,1346,490,795,36.40416048,59.06389302,72.24906065,22.65973254
4126,1945,1492,861,582,57.7077748,39.0080429,76.70951157,-18.6997319
4128,2040,1681,907,738,53.95597858,43.90243902,82.40196078,-10.05353956
4129,111,72,41,30,56.94444444,41.66666667,64.86486486,-15.27777777
4130,1745,1388,663,672,47.76657061,48.41498559,79.54154728,0.648414980000005
4132,1003,826,400,411,48.42615012,49.75786925,82.35294118,1.33171913
4134,1380,1094,603,458,55.11882998,41.86471664,79.27536232,-13.25411334
4136,1684,1292,583,653,45.12383901,50.54179567,76.72209026,5.41795666
4138,2805,2074,1185,819,57.13596914,39.48891032,73.93939394,-17.64705882
4140,668,538,205,322,38.10408922,59.85130112,80.53892216,21.7472119
4142,2181,1801,785,946,43.58689617,52.52637424,82.57679963,8.93947806999999
4144,570,465,218,231,46.88172043,49.67741935,81.57894737,2.79569892
4146,1230,1046,453,565,43.30783939,54.01529637,85.04065041,10.70745698
4148,1424,1077,422,627,39.18291551,58.21727019,75.63202247,19.03435468
4150,518,375,164,192,43.73333333,51.2,72.39382239,7.46666667
4152,1896,1398,665,668,47.56795422,47.78254649,73.73417722,0.214592269999997
4154,1118,746,336,366,45.04021448,49.0616622,66.72629696,4.02144772
4156,1358,1112,552,526,49.64028777,47.30215827,81.88512518,-2.3381295
4158,2381,1976,807,1098,40.84008097,55.56680162,82.99034019,14.72672065
4160,1167,970,478,455,49.27835052,46.90721649,83.11910883,-2.37113403000001
4162,1421,1083,485,553,44.78301016,51.06186519,76.21393385,6.27885503
4164,1728,1373,645,658,46.9774217,47.92425346,79.45601852,0.946831760000002
4166,2750,1814,558,1170,30.76074972,64.4983462,65.96363636,33.73759648
4168,1867,1373,551,743,40.13109978,54.11507647,73.54043921,13.98397669
4170,2751,2025,1007,919,49.72839506,45.38271605,73.60959651,-4.34567901000001
4172,1918,1497,725,711,48.43019372,47.49498998,78.05005214,-0.935203739999999
4174,850,695,279,392,40.14388489,56.4028777,81.76470588,16.25899281
4176,2340,1765,727,974,41.1898017,55.18413598,75.42735043,13.99433428
4178,1919,1526,648,828,42.46395806,54.25950197,79.52058364,11.79554391
4180,1707,1359,562,739,41.35393672,54.37821928,79.61335677,13.02428256
4182,2241,1707,662,976,38.78148799,57.17633275,76.17135207,18.39484476
4184,1699,1309,662,597,50.57295646,45.60733384,77.04532078,-4.96562262
4186,1505,1103,473,565,42.88304624,51.22393472,73.28903654,8.34088848
4188,2133,1446,549,825,37.96680498,57.05394191,67.79184248,19.08713693
4190,2183,1670,903,694,54.07185629,41.55688623,76.50022904,-12.51497006
4192,2143,1550,955,537,61.61290323,34.64516129,72.32851143,-26.96774194
4194,1104,916,353,543,38.5371179,59.27947598,82.97101449,20.74235808
4196,1465,1243,501,723,40.30571199,58.16572808,84.84641638,17.86001609
4198,1630,1174,461,673,39.26746167,57.3253833,72.02453988,18.05792163
4200,980,815,392,393,48.09815951,48.2208589,83.16326531,0.122699390000001
4202,1940,1499,622,833,41.49432955,55.57038025,77.26804124,14.0760507
4204,1677,1211,430,727,35.50784476,60.03303055,72.21228384,24.52518579
4206,1440,1176,494,648,42.00680272,55.10204082,81.66666667,13.0952381
4208,2036,1648,607,990,36.83252427,60.07281553,80.94302554,23.24029126
4210,2032,1666,855,747,51.32052821,44.83793517,81.98818898,-6.48259304000001
4212,1962,1633,820,745,50.21432945,45.62155542,83.23139653,-4.59277402999999
4214,2068,1673,937,671,56.00717274,40.10759115,80.89941973,-15.89958159
4216,2329,1929,1084,749,56.19491965,38.8284085,82.82524689,-17.36651115
4218,1812,1425,865,499,60.70175439,35.01754386,78.64238411,-25.68421053
4220,1293,924,424,460,45.88744589,49.78354978,71.46171694,3.89610389
4222,2353,1820,919,835,50.49450549,45.87912088,77.3480663,-4.61538460999999
4224,2251,1716,1093,562,63.69463869,32.75058275,76.23278543,-30.94405594
4226,894,729,424,283,58.16186557,38.82030178,81.54362416,-19.34156379
4228,1543,1264,651,576,51.50316456,45.56962025,81.91834089,-5.93354431
4230,1061,829,433,367,52.23160434,44.27020507,78.133836,-7.96139927
5002,1121,858,457,380,53.26340326,44.28904429,76.53880464,-8.97435897
5003,1203,909,377,494,41.47414741,54.34543454,75.56109726,12.87128713
5004,4,4,3,1,75,25,100,-50
5006,1618,1497,506,952,33.8009352,63.59385438,92.52163164,29.79291918
5007,6,5,1,4,20,80,83.33333333,60
5008,1901,1695,642,1010,37.87610619,59.58702065,89.16359811,21.71091446
5009,2898,2304,963,1270,41.796875,55.12152778,79.50310559,13.32465278
5010,1527,1350,310,1013,22.96296296,75.03703704,88.4086444,52.07407408
5012,750,648,171,462,26.38888889,71.2962963,86.4,44.90740741
5014,1449,1090,414,624,37.98165138,57.24770642,75.22429262,19.26605504
5016,2106,1668,682,931,40.88729017,55.81534772,79.2022792,14.92805755
5018,1300,1087,318,745,29.25482981,68.53725851,83.61538462,39.2824287
5020,1284,993,328,625,33.03121853,62.94058409,77.3364486,29.90936556
5022,1721,1449,507,907,34.98964803,62.59489303,84.19523533,27.605245
5024,1034,926,313,597,33.8012959,64.47084233,89.55512573,30.66954643
5026,1831,1358,384,931,28.27687776,68.55670103,74.16712179,40.27982327
5028,1678,1408,566,777,40.19886364,55.18465909,83.90941597,14.98579545
5030,1288,888,230,635,25.9009009,71.50900901,68.94409938,45.60810811
5032,520,418,111,299,26.55502392,71.53110048,80.38461538,44.97607656
5034,1447,1307,372,918,28.46212701,70.23718439,90.32480995,41.77505738
5036,1305,1188,363,804,30.55555556,67.67676768,91.03448276,37.12121212
5038,1320,1190,351,807,29.49579832,67.81512605,90.15151515,38.31932773
5040,828,682,206,455,30.20527859,66.71554252,82.36714976,36.51026393
5042,1662,1350,420,894,31.11111111,66.22222222,81.22743682,35.11111111
5044,945,876,272,583,31.05022831,66.55251142,92.6984127,35.50228311
5046,2604,2208,702,1449,31.79347826,65.625,84.79262673,33.83152174
5048,1206,977,379,577,38.79222108,59.05834186,81.01160862,20.26612078
5050,1774,1551,404,1122,26.04771115,72.34042553,87.42953777,46.29271438
5052,1142,947,376,546,39.70432946,57.65575502,82.92469352,17.95142556
5054,2187,1753,904,786,51.5687393,44.83742156,80.15546411,-6.73131773999999
5055,572,513,183,319,35.67251462,62.18323587,89.68531469,26.51072125
5056,3099,2678,1015,1604,37.90141897,59.89544436,86.41497257,21.99402539
5058,1107,1019,271,729,26.59470069,71.5407262,92.05058717,44.94602551
5060,948,854,295,539,34.54332553,63.1147541,90.08438819,28.57142857
5062,884,778,284,480,36.50385604,61.6966581,88.00904977,25.19280206
5064,1651,1371,395,954,28.8110868,69.58424508,83.04058147,40.77315828
5066,1354,1068,399,640,37.35955056,59.92509363,78.8774003,22.56554307
5068,395,322,102,208,31.67701863,64.59627329,81.51898734,32.91925466
5070,847,678,251,413,37.02064897,60.91445428,80.0472255,23.89380531
5072,1214,1026,229,773,22.31968811,75.3411306,84.51400329,53.02144249
5074,647,497,176,304,35.41247485,61.16700201,76.81607419,25.75452716
5076,1145,930,279,627,30,67.41935484,81.22270742,37.41935484
5078,1119,872,301,544,34.51834862,62.3853211,77.92672029,27.86697248
5080,201,140,51,81,36.42857143,57.85714286,69.65174129,21.42857143
5082,1297,972,380,564,39.09465021,58.02469136,74.94217425,18.93004115
5084,992,771,329,419,42.67185473,54.34500649,77.72177419,11.67315176
5086,78,49,18,29,36.73469388,59.18367347,62.82051282,22.44897959
5088,464,302,109,179,36.09271523,59.27152318,65.0862069,23.17880795
5090,1892,1594,537,1016,33.68883312,63.73902133,84.24947146,30.05018821
5092,1473,1239,404,810,32.60694108,65.37530266,84.11405295,32.76836158
5094,655,529,181,340,34.21550095,64.27221172,80.76335878,30.05671077
5096,1664,1266,467,769,36.8878357,60.74249605,76.08173077,23.85466035
5098,769,640,263,369,41.09375,57.65625,83.22496749,16.5625
5100,1577,1205,396,769,32.86307054,63.81742739,76.41090679,30.95435685
5102,1681,1278,328,915,25.66510172,71.59624413,76.0261749,45.93114241
5104,1523,1162,391,739,33.64888124,63.59724613,76.29678267,29.94836489
5106,2261,1619,642,909,39.65410747,56.14576899,71.6054843,16.49166152
5108,2575,2178,1015,1108,46.60238751,50.87235996,84.58252427,4.26997245
5110,1373,1199,589,566,49.12427023,47.206005,87.32702112,-1.91826523
5111,159,112,55,54,49.10714286,48.21428571,70.44025157,-0.892857150000005
5112,1605,1343,650,650,48.39910648,48.39910648,83.67601246,0
5113,75,56,28,26,50,46.42857143,74.66666667,-3.57142857
5114,570,466,217,230,46.56652361,49.35622318,81.75438596,2.78969957
5115,0,1,1,0,100,0,0,-100
5116,1486,1289,595,655,46.15981381,50.81458495,86.74293405,4.65477113999999
5117,605,515,205,297,39.80582524,57.66990291,85.12396694,17.86407767
5118,297,217,94,116,43.31797235,53.4562212,73.06397306,10.13824885
5119,90,79,34,43,43.03797468,54.43037975,87.77777778,11.39240507
5120,22,5,2,3,40,60,22.72727273,20
5122,650,488,166,306,34.01639344,62.70491803,75.07692308,28.68852459
5124,387,295,127,160,43.05084746,54.23728814,76.22739018,11.18644068
5126,493,416,112,293,26.92307692,70.43269231,84.38133874,43.50961539
5128,1823,1434,570,808,39.74895397,56.34588563,78.6615469,16.59693166
5130,1698,1350,631,678,46.74074074,50.22222222,79.50530035,3.48148148
5132,2128,1619,639,921,39.46880791,56.88696726,76.08082707,17.41815935
5134,1409,1064,492,526,46.2406015,49.43609023,75.51454933,3.19548873000001
5136,2080,1569,613,904,39.069471,57.61631612,75.43269231,18.54684512
5138,1976,1485,579,854,38.98989899,57.50841751,75.15182186,18.51851852
5140,2689,1959,820,1052,41.85809086,53.70086779,72.85236147,11.84277693
5142,778,633,284,334,44.8657188,52.76461295,81.36246787,7.89889415
5144,1744,1462,506,931,34.61012312,63.67989056,83.83027523,29.06976744
5146,1792,1398,573,811,40.98712446,58.01144492,78.01339286,17.02432046
5148,1363,1000,344,616,34.4,61.6,73.36757153,27.2
5150,1143,881,287,574,32.57661748,65.15323496,77.07786527,32.57661748
5152,2403,1896,879,968,46.36075949,51.05485232,78.90137328,4.69409283
5154,2347,1796,796,957,44.32071269,53.28507795,76.52322113,8.96436526
5156,1733,1323,520,773,39.30461073,58.42781557,76.34160415,19.12320484
5158,1492,1264,473,762,37.42088608,60.28481013,84.71849866,22.86392405
5160,1561,1339,489,817,36.51979089,61.01568335,85.77834721,24.49589246
5162,2143,1657,811,776,48.94387447,46.83162342,77.3215119,-2.11225105
5164,2218,1747,666,1037,38.12249571,59.35890097,78.76465284,21.23640526
5166,2028,1525,619,844,40.59016393,55.3442623,75.19723866,14.75409837
5168,2076,1621,590,969,36.39728563,59.77791487,78.08285164,23.38062924
5170,2376,1828,603,1173,32.9868709,64.16849015,76.93602694,31.18161925
5172,720,589,326,236,55.34804754,40.06791171,81.80555556,-15.28013583
5174,2428,1892,889,933,46.98731501,49.31289641,77.92421746,2.3255814
5176,1163,886,356,493,40.18058691,55.64334086,76.18228719,15.46275395
5178,1821,1262,536,672,42.47226624,53.24881141,69.302581,10.77654517
5180,1657,1024,396,591,38.671875,57.71484375,61.7984309,19.04296875
5182,1466,939,331,579,35.25026624,61.66134185,64.05184175,26.41107561
5184,2187,1564,563,956,35.99744246,61.12531969,71.5134888,25.12787723
5186,2335,1578,427,1076,27.05956907,68.18757921,67.58029979,41.12801014
5188,2160,1590,636,896,40,56.35220126,73.61111111,16.35220126
5190,1062,785,298,459,37.96178344,58.47133758,73.91713748,20.50955414
5192,2616,1970,751,1126,38.12182741,57.15736041,75.3058104,19.035533
5194,941,698,281,384,40.25787966,55.01432665,74.17640808,14.75644699
6002,238,186,98,83,52.68817204,44.62365591,78.1512605,-8.06451613000001
6004,1419,899,146,737,16.24026696,81.97997775,63.35447498,65.73971079
6006,1447,925,106,810,11.45945946,87.56756757,63.92536282,76.10810811
6008,743,370,4,358,1.081081081,96.75675676,49.79811575,95.675675679
6010,42,27,1,24,3.703703704,88.88888889,64.28571429,85.185185186
6012,259,162,29,132,17.90123457,81.48148148,62.54826255,63.58024691
6014,4,3,3,0,100,0,75,-100
6016,147,95,54,38,56.84210526,40,64.62585034,-16.84210526
6018,1472,945,40,883,4.232804233,93.43915344,64.19836957,89.206349207
6020,752,421,85,333,20.19002375,79.09738717,55.98404255,58.90736342
6022,1771,1071,43,1016,4.014939309,94.86461251,60.4743083,90.849673201
6024,2170,1364,24,1323,1.759530792,96.9941349,62.85714286,95.234604108
6026,3,1,0,1,0,100,33.33333333,100
6028,1483,1028,389,615,37.84046693,59.82490272,69.31894808,21.98443579
6029,11,1,0,1,0,100,9.090909091,100
6030,24,10,3,7,30,70,41.66666667,40
6032,1150,822,251,551,30.53527981,67.03163017,71.47826087,36.49635036
6034,11,8,8,0,100,0,72.72727273,-100
6036,784,458,106,341,23.1441048,74.45414847,58.41836735,51.31004367
6038,0,0,0,0,0,0,0,0
6040,315,228,145,72,63.59649123,31.57894737,72.38095238,-32.01754386
6042,2823,2122,1169,883,55.08953817,41.61168709,75.16826072,-13.47785108
6044,2983,2200,1220,917,55.45454545,41.68181818,73.75125712,-13.77272727
6046,2196,1625,929,644,57.16923077,39.63076923,73.99817851,-17.53846154
6048,0,0,0,0,0,0,0,0
6050,3085,2285,1225,964,53.61050328,42.18818381,74.06807131,-11.42231947
6052,1578,1161,601,520,51.76571921,44.78897502,73.57414449,-6.97674419000001
6054,0,0,0,0,0,0,0,0
6056,0,0,0,0,0,0,0,0
6058,2571,1945,987,889,50.74550129,45.70694087,75.65149747,-5.03856041999999
6060,2435,1726,889,776,51.50637312,44.9594438,70.88295688,-6.54692932000001
6062,767,623,348,251,55.85874799,40.28892456,81.22555411,-15.56982343
6064,114,134,93,39,69.40298507,29.10447761,117.5438596,-40.29850746
6066,2617,2262,1113,1048,49.20424403,46.33068081,86.43484906,-2.87356321999999
6068,0,0,0,0,0,0,0,0
6070,498,426,244,165,57.27699531,38.73239437,85.54216867,-18.54460094
6072,5,2,0,2,0,100,40,100
6073,0,0,0,0,0,0,0,0
6074,0,0,0,0,0,0,0,0
6076,1833,1293,719,517,55.60711524,39.9845321,70.5400982,-15.62258314
6078,1896,1330,739,524,55.56390977,39.39849624,70.14767932,-16.16541353
6080,1864,1298,723,521,55.70107858,40.13867488,69.63519313,-15.5624037
6082,26,14,10,4,71.42857143,28.57142857,53.84615385,-42.85714286
6084,0,0,0,0,0,0,0,0
6086,854,659,384,246,58.27010622,37.3292868,77.16627635,-20.94081942
6088,1599,1140,651,436,57.10526316,38.24561404,71.2945591,-18.85964912
6090,2094,1496,828,614,55.34759358,41.04278075,71.44221585,-14.30481283
6092,533,398,223,165,56.03015075,41.45728643,74.67166979,-14.57286432
6094,2166,1550,914,567,58.96774194,36.58064516,71.56048015,-22.38709678
6096,0,0,0,0,0,0,0,0
6098,1270,978,416,522,42.53578732,53.37423313,77.00787402,10.83844581
6100,2577,1987,760,1167,38.248616,58.73175642,77.10516104,20.48314042
6102,1556,1172,534,599,45.56313993,51.10921502,75.32133676,5.54607509
6104,437,345,153,182,44.34782609,52.75362319,78.94736842,8.4057971
6106,534,348,111,224,31.89655172,64.36781609,65.16853933,32.47126437
6108,0,0,0,0,0,0,0,0
6110,7,3,3,0,100,0,42.85714286,-100
6112,1037,791,378,385,47.78761062,48.67256637,76.2777242,0.884955750000003
6114,2421,1726,688,959,39.86095017,55.56199305,71.29285419,15.70104288
6116,1564,1150,433,674,37.65217391,58.60869565,73.52941176,20.95652174
6118,2270,1644,617,962,37.53041363,58.51581509,72.42290749,20.98540146
6120,842,703,336,343,47.79516358,48.79089616,83.49168646,0.995732580000002
6122,2479,1761,661,1022,37.5354912,58.03520727,71.03670835,20.49971607
6124,1252,820,303,486,36.95121951,59.26829268,65.49520767,22.31707317
6126,1327,986,304,644,30.831643,65.31440162,74.30293896,34.48275862
6128,87,64,19,41,29.6875,64.0625,73.56321839,34.375
6130,215,140,42,93,30,66.42857143,65.11627907,36.42857143
6132,848,557,207,322,37.16337522,57.80969479,65.68396226,20.64631957
6134,2017,1421,440,916,30.96410978,64.46164673,70.4511651,33.49753695
6136,0,2,1,1,50,50,0,0
6138,0,0,0,0,0,0,0,0
6140,1018,825,449,354,54.42424242,42.90909091,81.04125737,-11.51515151
6142,2,2,2,0,100,0,100,-100
6144,0,0,0,0,0,0,0,0
6146,5,2,0,2,0,100,40,100
6148,0,0,0,0,0,0,0,0
6150,100,78,36,38,46.15384615,48.71794872,78,2.56410257
6152,1257,990,545,405,55.05050505,40.90909091,78.75894988,-14.14141414
6154,1413,1106,554,514,50.09041591,46.47377939,78.27317764,-3.61663652
6156,1891,1421,717,634,50.45742435,44.61646728,75.1454257,-5.84095707
6158,2306,1806,948,786,52.49169435,43.52159468,78.31743278,-8.97009967
6160,1777,1296,615,620,47.4537037,47.83950617,72.93190771,0.385802470000002
6162,2028,1494,686,742,45.91700134,49.66532798,73.66863905,3.74832664
6164,2155,1668,771,835,46.22302158,50.05995204,77.40139211,3.83693046
6166,2513,1875,904,893,48.21333333,47.62666667,74.61201751,-0.586666660000006
6168,443,346,181,154,52.31213873,44.50867052,78.10383747,-7.80346821000001
6170,43,26,9,14,34.61538462,53.84615385,60.46511628,19.23076923
6172,2278,1556,474,1034,30.46272494,66.45244216,68.30553117,35.98971722
6174,106,81,63,18,77.77777778,22.22222222,76.41509434,-55.55555556
6176,0,0,0,0,0,0,0,0
6178,1223,947,367,541,38.75395987,57.12777191,77.43254293,18.37381204
6180,76,68,47,19,69.11764706,27.94117647,89.47368421,-41.17647059
6182,1061,761,434,305,57.03022339,40.07884363,71.72478794,-16.95137976
6184,1830,1273,590,636,46.34721131,49.9607227,69.56284153,3.61351138999999
6186,2033,1408,583,770,41.40625,54.6875,69.25725529,13.28125
6188,817,631,355,245,56.25990491,38.82725832,77.23378213,-17.43264659
6190,1935,1292,477,747,36.91950464,57.81733746,66.77002584,20.89783282
6192,2496,1876,829,969,44.18976546,51.65245203,75.16025641,7.46268656999999
6194,1102,781,317,441,40.58898848,56.46606914,70.87114338,15.87708066
6196,0,0,0,0,0,0,0,0
6198,1158,822,305,493,37.10462287,59.9756691,70.98445596,22.87104623
6200,1560,1173,560,569,47.74083546,48.50809889,75.19230769,0.76726343
6202,4,3,3,0,100,0,75,-100
6204,9,9,4,5,44.44444444,55.55555556,100,11.11111112
6206,617,479,232,229,48.434238,47.80793319,77.63371151,-0.626304810000001
6207,851,663,342,281,51.58371041,42.38310709,77.90834313,-9.20060332000001
6208,719,645,299,334,46.35658915,51.78294574,89.70792768,5.42635659
6210,3535,2681,1175,1440,43.82693025,53.71130175,75.84158416,9.88437149999999
6212,519,362,219,132,60.49723757,36.4640884,69.7495183,-24.03314917
6214,2138,1618,790,771,48.82571075,47.65142151,75.67820393,-1.17428923999999
6216,561,431,200,207,46.4037123,48.02784223,76.82709447,1.62412993
6218,0,0,0,0,0,0,0,0
6220,114,96,37,55,38.54166667,57.29166667,84.21052632,18.75
6222,0,0,0,0,0,0,0,0
6224,2507,2005,1099,850,54.81296758,42.39401496,79.97606701,-12.41895262
6226,2047,1641,787,801,47.95856185,48.81170018,80.16609673,0.853138330000007
6228,1513,1354,426,894,31.46233383,66.02658789,89.49107733,34.56425406
6230,1868,1428,731,639,51.19047619,44.74789916,76.44539615,-6.44257703
6232,2002,1427,781,602,54.73020322,42.18640505,71.27872128,-12.54379817
7002,6,2,0,2,0,100,33.33333333,100
7004,0,0,0,0,0,0,0,0
7006,3,2,2,0,100,0,66.66666667,-100
7008,0,0,0,0,0,0,0,0
7010,427,230,14,211,6.086956522,91.73913043,53.86416862,85.652173908
7012,1662,1048,165,838,15.74427481,79.96183206,63.05655836,64.21755725
7014,0,0,0,0,0,0,0,0
7016,2,1,1,0,100,0,50,-100
7018,0,2,0,2,0,100,0,100
7020,0,0,0,0,0,0,0,0
7022,1246,927,147,750,15.85760518,80.90614887,74.39807384,65.04854369
7024,1897,1225,63,1135,5.142857143,92.65306122,64.57564576,87.510204077
7025,385,243,29,203,11.93415638,83.53909465,63.11688312,71.60493827
7026,2653,1785,30,1718,1.680672269,96.2464986,67.2823219,94.565826331
7028,2322,1455,92,1333,6.323024055,91.61512027,62.66149871,85.292096215
7030,619,491,278,195,56.6191446,39.71486762,79.32148627,-16.90427698
7032,0,0,0,0,0,0,0,0
7034,1949,1353,208,1111,15.37324464,82.11382114,69.4202155,66.7405765
7036,6,3,1,2,33.33333333,66.66666667,50,33.33333334
7038,1,0,0,0,0,0,0,0
7040,1476,939,26,892,2.768903088,94.99467519,63.61788618,92.225772102
7041,454,301,18,272,5.980066445,90.3654485,66.29955947,84.385382055
7042,2121,1396,37,1321,2.650429799,94.62750716,65.81801037,91.977077361
7044,1781,1159,87,1048,7.506471096,90.42277826,65.07580011,82.916307164
7046,117,84,51,31,60.71428571,36.9047619,71.79487179,-23.80952381
7048,418,269,9,254,3.345724907,94.42379182,64.35406699,91.078066913
7050,4,3,3,0,100,0,75,-100
7052,0,0,0,0,0,0,0,0
7054,1262,880,74,790,8.409090909,89.77272727,69.73058637,81.363636361
7056,1,0,0,0,0,0,0,0
7058,2254,1663,353,1224,21.22669874,73.60192423,73.77994676,52.37522549
7060,1471,1077,53,1006,4.921077066,93.40761374,73.21549966,88.486536674
7062,973,633,29,589,4.58135861,93.04897314,65.05652621,88.46761453
7064,1883,1237,115,1086,9.29668553,87.7930477,65.69304302,78.49636217
7066,1764,1091,166,892,15.21539872,81.75985335,61.84807256,66.54445463
7068,1723,1043,203,792,19.46308725,75.93480345,60.53395241,56.4717162
7070,1184,870,364,464,41.83908046,53.33333333,73.47972973,11.49425287
7072,484,417,99,306,23.74100719,73.38129496,86.15702479,49.64028777
7074,308,189,20,166,10.58201058,87.83068783,61.36363636,77.24867725
7076,7,5,3,2,60,40,71.42857143,-20
7078,472,359,65,277,18.10584958,77.15877437,76.05932203,59.05292479
7080,54,46,6,39,13.04347826,84.7826087,85.18518519,71.73913044
7082,1794,1315,347,919,26.3878327,69.88593156,73.29988852,43.49809886
7084,1388,971,242,676,24.92276004,69.61894954,69.95677233,44.6961895
7086,15,14,3,11,21.42857143,78.57142857,93.33333333,57.14285714
7088,1537,1220,521,657,42.70491803,53.85245902,79.37540664,11.14754099
7090,2804,1860,412,1371,22.15053763,73.70967742,66.33380884,51.55913979
7092,218,182,37,137,20.32967033,75.27472527,83.48623853,54.94505494
7094,911,683,100,556,14.64128843,81.40556369,74.97255763,66.76427526
7096,1664,1115,290,776,26.00896861,69.59641256,67.00721154,43.58744395
7098,73,36,16,17,44.44444444,47.22222222,49.31506849,2.77777777999999
7100,2087,1385,457,841,32.99638989,60.72202166,66.36320077,27.72563177
7102,1163,793,161,616,20.30264817,77.67969735,68.18572657,57.37704918
7104,1415,1149,341,754,29.67798085,65.62228024,81.20141343,35.94429939
7106,2396,1451,76,1334,5.237767057,91.93659545,60.55926544,86.698828393
7108,922,673,249,391,36.99851412,58.09806835,72.99349241,21.09955423
7110,1148,670,158,489,23.58208955,72.98507463,58.36236934,49.40298508
7112,208,154,33,117,21.42857143,75.97402597,74.03846154,54.54545454
