"Precinct","Registered","Ballots Cast","Donald J. Trump","Hillary Rodham Clinton","Percent Trump","Percent Clinton","Voter turnout","Democrat minus Republican"
1178,0,0,0,0,0,0,0,0
1180,0,1,0,1,0,100,0,100
1182,555,416,255,143,61.29807692,34.375,74.95495495,-26.92307692
1184,1418,1221,552,621,45.20884521,50.85995086,86.10719323,5.65110565000001
1186,1435,1126,496,591,44.04973357,52.48667851,78.46689895,8.43694494
1188,861,696,324,341,46.55172414,48.99425287,80.83623693,2.44252873
1189,65,54,41,10,75.92592593,18.51851852,83.07692308,-57.40740741
1190,3100,2524,1376,1048,54.51664025,41.52139461,81.41935484,-12.99524564
1192,1465,1160,660,463,56.89655172,39.9137931,79.18088737,-16.98275862
1194,2005,1731,855,800,49.39341421,46.21606008,86.33416459,-3.17735413
1196,0,0,0,0,0,0,0,0
1198,1485,1022,467,504,45.69471624,49.31506849,68.82154882,3.62035225
1200,1,1,1,0,100,0,100,-100
1202,2146,1668,1021,588,61.21103118,35.25179856,77.72600186,-25.95923262
1204,46,39,24,12,61.53846154,30.76923077,84.7826087,-30.76923077
1206,86,82,62,13,75.6097561,15.85365854,95.34883721,-59.75609756
1208,1734,1437,837,542,58.24634656,37.71746695,82.87197232,-20.52887961
1210,625,501,264,205,52.69461078,40.91816367,80.16,-11.77644711
1212,164,104,59,40,56.73076923,38.46153846,63.41463415,-18.26923077
1214,946,780,439,306,56.28205128,39.23076923,82.45243129,-17.05128205
1216,541,412,220,160,53.39805825,38.83495146,76.15526802,-14.56310679
1218,0,0,0,0,0,0,0,0
1220,0,0,0,0,0,0,0,0
1222,0,0,0,0,0,0,0,0
1224,0,0,0,0,0,0,0,0
1226,0,0,0,0,0,0,0,0
1228,430,357,218,131,61.06442577,36.69467787,83.02325581,-24.3697479
1230,0,0,0,0,0,0,0,0
1232,0,0,0,0,0,0,0,0
1234,0,0,0,0,0,0,0,0
1236,0,0,0,0,0,0,0,0
1238,1642,1422,715,646,50.28129395,45.42897328,86.60170524,-4.85232066999999
1240,2470,2011,1034,895,51.41720537,44.50522128,81.41700405,-6.91198409
1242,2481,2048,992,994,48.4375,48.53515625,82.54735994,0.09765625
1244,1512,1206,634,536,52.57048093,44.44444444,79.76190476,-8.12603648999999
1246,2342,1821,882,863,48.43492586,47.39154311,77.75405636,-1.04338275
1247,227,188,138,42,73.40425532,22.34042553,82.81938326,-51.06382979
1248,1491,1165,598,526,51.3304721,45.15021459,78.13547954,-6.18025751
